dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,sb,pitch_count
2014-05-15,140515_191732nyn,,6,1,594798,453056,3,Double,S,19,3.44,1.59,-4.389,7.781,FF,17,0.937,L,0,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Called Strike,209.271,-0.734054,1,nyn,0.0729463860107,-135.894966455,0.294337848307,-4.73493665403,8.90588051011,-4.73493665403,8.90588051011,-1.28407024308,55,5.81390803864,4.94297459977,-139.455734404,-6.7532602584,-9.10899998474,32.6819983521,-15.0460009003,95.25,-0.0313783454308,1.86685990458,-0.042,1.836,0,11
2014-05-15,140515_191749nyn,,6,2,594798,453056,3,Double,S,20,3.44,1.59,-6.345,5.395,CH,17,0.852,L,1,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Foul,229.363,-0.651892,1,nyn,0.0799650129877,-124.028380175,0.321800693711,-6.72842732932,6.78621159672,-6.72842732932,6.78621159672,-1.19135100096,55,5.75420542459,5.08372651719,-127.094882202,-3.88938586399,-10.8290002518,25.6689997711,-21.2569994354,86.77,-0.00236493248808,1.96848165174,0.007,1.912,1,12
2014-05-15,140515_191813nyn,,6,3,594798,453056,3,Double,B,21,3.44,1.59,3.259,0.309,SL,24,0.813,L,2,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Ball,96.2389,-1.65405,1,nyn,0.0805406644956,-123.362765047,0.321042482847,2.71296304926,1.78163833802,2.71296304926,1.78163833802,-1.25669657308,55,5.72669574555,4.19201603666,-125.749520006,-4.12139206076,4.38699982834,19.8189993896,-29.2979998016,85.83,1.02143976074,1.05224362036,1.049,0.985,2,13
2014-05-15,140515_191830nyn,,6,4,594798,453056,3,Double,B,22,3.44,1.59,-5.266,6.78,FF,0,0.913,L,2,1,R,gid_2014_05_15_nyamlb_nynmlb_1/,Ball,217.657,1.06703,1,nyn,0.0721226265754,-137.546489955,0.289882000588,-5.58893991205,7.88501854725,-5.58893991205,7.88501854725,-1.23453131541,55,5.82379217223,1.86803059497,-140.852216638,-2.50557231369,-11.0849998169,30.6770010986,-16.5400003815,96.06,-1.36809051363,3.51985740913,-1.392,3.502,12,14
2014-05-15,140515_191848nyn,,6,5,594798,453056,3,Double,B,23,3.44,1.59,-6.21,-1.086,CH,10,0.861,L,2,2,R,gid_2014_05_15_nyamlb_nynmlb_1/,Ball,279.501,-0.155676,1,nyn,0.0810158058923,-122.474408662,0.325248607193,-6.60489563079,0.448746047657,-6.60489563079,0.448746047657,-1.03912643733,55,5.62098747017,0.0366911827143,-125.338305383,-0.118755362102,-10.4059999161,23.6570006409,-31.4720014954,85.46,-2.0591263186,2.4335633156,-2.063,2.371,22,15
2014-05-15,140515_191909nyn,,6,6,594798,453056,3,Double,X,24,3.44,1.59,-2.917,7.379,FF,16,0.873,L,2,3,R,gid_2014_05_15_nyamlb_nynmlb_1/,"In play, no out",201.428,-0.424865,1,nyn,0.0738351808827,-134.446587921,0.295700907872,-3.28893147037,8.52163253309,-3.28893147037,8.52163253309,-1.24511805731,55,5.65017055811,3.34893463083,-137.406495455,-5.38204040245,-6.26899983215,26.821999649,-15.9360002899,93.79,-0.402087243043,2.15103259397,-0.413,2.122,32,16
2014-05-15,140515_191955nyn,,5,1,594798,407893,4,Strikeout,B,28,3.43,1.64,-3.635,5.084,FF,2,0.778,L,0,0,R,gid_2014_05_15_nyamlb_nynmlb_1/,Ball,215.328,1.8,1,nyn,0.0729889044536,-135.845251692,0.294164139969,-3.99157305259,6.24747673752,-3.99157305259,6.24747673752,-1.17732528423,55,5.75929723562,4.83705963255,-139.316339442,0.105020313878,-7.68799998093,31.837000946,-20.1459993744,95.05,0.148036917229,4.16416486433,0.138,4.146,0,17
2014-05-15,140515_192011nyn,,5,2,594798,407893,4,Strikeout,S,29,3.43,1.64,-3.651,8.033,FF,12,0.918,L,0,1,R,gid_2014_05_15_nyamlb_nynmlb_1/,Called Strike,204.307,-0.18324,1,nyn,0.0727930803228,-136.252388643,0.292891222039,-4.00497097619,9.14282237367,-4.00497097619,9.14282237367,-1.18413427216,55,5.84047206791,4.67678348324,-139.608750994,-5.67763955308,-7.78099991608,30.8629981079,-14.4159998322,95.32,0.0666526518252,2.39736048203,0.055,2.371,10,18
2014-05-15,140515_192031nyn,,5,3,594798,407893,4,Strikeout,S,30,3.43,1.64,5.282,-2.856,CU,17,0.536,L,1,1,R,gid_2014_05_15_nyamlb_nynmlb_1/,Called Strike,62.0089,-0.648045,1,nyn,0.0830146730859,-119.493262159,0.33375424186,4.65506717974,-1.20704133916,4.65506717974,-1.20704133916,-1.20704350394,55,5.73975526696,0.760328977868,-122.38390305,-0.321097629755,6.964999897,23.3060008087,-33.9849981689,83.45,-0.129174047158,2.03175377361,-0.097,1.955,11,19
2014-05-15,140515_192052nyn,,5,4,594798,407893,4,Strikeout,B,31,3.43,1.64,3.451,0.834,SL,22,0.841,L,2,1,R,gid_2014_05_15_nyamlb_nynmlb_1/,Ball,104.325,-1.49832,1,nyn,0.0797114531321,-124.544971648,0.319102628969,2.90755356103,2.28009873379,2.90755356103,2.28009873379,-1.34130448034,55,5.70888713625,2.39935534864,-127.257808997,-3.92535173711,4.75900004578,22.7699996033,-28.4469999695,86.82,0.16718511668,1.25694608003,0.187,1.194,12,20
